 ,Area,X,Y,Perim.,BX,BY,Width,Height,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,117,921.132,221.397,64.669,912,211,16,18,0.352,21.260,913,227,48.814,11.869,2.069,0.483,0.657
2,66,838.848,227.909,28.971,835,223,8,10,0.988,11.180,836,233,63.435,8.000,1.263,0.791,0.936
3,58,881.966,280.741,26.971,878,276,8,9,1.000,10.296,879,285,60.945,8.000,1.233,0.811,0.928
4,35,617.414,305.329,20.728,614,302,7,6,1.000,8.602,614,303,144.462,6.000,1.359,0.736,0.921
5,80,696.975,324.400,36.042,691,319,12,11,0.774,12.806,693,330,38.660,9.899,1.423,0.703,0.808
6,118,705.322,331.873,60.184,698,324,14,15,0.409,16.643,700,338,57.265,13.435,1.395,0.717,0.733
7,605,677.401,366.477,139.924,663,349,26,36,0.388,39.825,669,349,118.496,26.000,1.370,0.730,0.782
8,45,528.078,374.322,24.971,524,370,7,9,0.907,9.220,527,370,102.529,7.000,1.297,0.771,0.882
9,48,547.812,378.250,25.799,543,374,9,8,0.906,10.000,544,381,36.870,7.428,1.411,0.709,0.857
10,57,794.395,395.500,26.728,790,392,9,7,1.000,10.296,790,393,150.945,7.000,1.299,0.770,0.950
11,49,698.643,415.010,31.799,692,410,12,8,0.609,13.601,692,418,36.027,6.466,2.420,0.413,0.772
12,122,899.025,431.615,49.456,893,423,11,19,0.627,19.925,894,423,107.526,9.598,2.398,0.417,0.797
13,40,495.775,478.125,22.728,493,474,6,8,0.973,8.944,494,474,116.565,6.000,1.383,0.723,0.920
14,569,792.403,502.848,139.681,778,488,30,31,0.366,35.511,785,519,57.653,23.917,1.534,0.652,0.856
15,38,660.474,509.658,22.971,656,506,8,7,0.905,8.944,656,511,26.565,6.364,1.401,0.714,0.884
16,28,623.036,520.500,31.657,622,513,2,15,0.351,15.033,623,513,93.814,2.000,7.067,0.142,0.966
17,27,858.426,557.907,17.899,856,555,5,6,1.000,7.211,856,555,123.690,5.000,1.210,0.826,0.947
18,30,1026.333,563.233,19.314,1024,560,5,7,1.000,7.616,1024,560,113.199,5.000,1.357,0.737,0.938
19,63,1201.325,567.659,28.385,1197,563,9,9,0.983,10.817,1198,563,123.690,8.944,1.248,0.801,0.913
20,30,1219.867,566.000,19.314,1217,563,6,6,1.000,7.810,1217,563,129.806,6.000,1.268,0.789,0.923
21,26,1210.346,569.962,17.899,1208,567,5,6,1.000,7.211,1208,567,123.690,5.000,1.283,0.779,0.929
22,44,742.432,573.136,23.556,739,569,7,8,0.996,9.434,740,569,122.005,7.000,1.386,0.721,0.917
23,57,536.430,574.956,26.971,532,571,9,8,0.985,10.630,533,571,131.186,7.778,1.330,0.752,0.927
24,50,598.120,576.880,25.556,594,573,8,8,0.962,9.434,594,579,32.005,8.000,1.204,0.831,0.901
25,126,664.913,604.540,48.870,660,595,11,18,0.663,18.974,662,613,71.565,10.683,1.806,0.554,0.805
26,52,969.885,608.115,25.556,966,604,8,8,1.000,9.434,966,611,32.005,8.000,1.142,0.876,0.920
27,43,492.616,611.849,24.385,489,607,7,9,0.909,9.220,492,607,102.529,7.000,1.311,0.763,0.860
28,67,671.127,616.082,34.627,664,612,14,8,0.702,14.318,664,617,12.095,7.376,2.117,0.472,0.822
29,36,768.667,623.111,22.142,766,619,6,8,0.923,9.434,766,619,122.005,6.000,1.677,0.596,0.900
30,53,937.840,628.991,27.556,933,626,10,7,0.877,10.770,933,631,21.801,7.000,1.634,0.612,0.898
31,38,436.526,663.421,24.385,432,660,8,7,0.803,8.944,432,662,153.435,6.708,1.386,0.722,0.844
32,50,723.600,665.120,24.728,720,661,7,8,1.000,9.434,721,669,57.995,7.000,1.158,0.864,0.952
33,81,873.105,672.722,33.213,868,667,10,11,0.923,12.806,869,668,128.660,9.839,1.335,0.749,0.900
