file	labels	identified	TP	FP	FN
/home/janci/skola/4/microscopy/dataset/images/348f8bfc-Concentracion_1en920250213_121749.png	72	109	53	56	19
/home/janci/skola/4/microscopy/dataset/images/35471fb8-Concentracion_1en920250224_123331.png	138	157	83	74	55
/home/janci/skola/4/microscopy/dataset/images/35bcad3d-Concentracion_1en920250214_122750.png	127	150	86	64	41
/home/janci/skola/4/microscopy/dataset/images/39f81b0a-Concentracion_1en920250213_121030.png	45	73	35	38	10
/home/janci/skola/4/microscopy/dataset/images/38831692-Concentracion_1en920250206_114422.png	31	1323	26	1297	5
/home/janci/skola/4/microscopy/dataset/images/3af4a11b-Concentracion_1en920250214_141638.png	166	278	122	156	44
/home/janci/skola/4/microscopy/dataset/images/3bb80376-Concentracion_1en920250217_125437.png	202	268	163	105	39
/home/janci/skola/4/microscopy/dataset/images/3bf5b5f5-Concentracion_1en920250213_123222.png	74	121	60	61	14
/home/janci/skola/4/microscopy/dataset/images/3c0bcb12-Concentracion_1en920250224_124621.png	136	158	93	65	43
/home/janci/skola/4/microscopy/dataset/images/3d960eac-Concentracion_1en920250214_130614.png	140	234	120	114	20
/home/janci/skola/4/microscopy/dataset/images/3df5bad4-Concentracion_1en920250214_141543.png	177	383	139	244	38
/home/janci/skola/4/microscopy/dataset/images/3f5b0634-Concentracion_1en920250217_125314.png	234	374	213	161	21
/home/janci/skola/4/microscopy/dataset/images/43424116-Concentracion_1en920250221_113916.png	130	118	92	26	38
/home/janci/skola/4/microscopy/dataset/images/3f85a68a-Concentracion_1en920250206_120101.png	20	2293	15	2278	5
/home/janci/skola/4/microscopy/dataset/images/46325593-Concentracion_1en920250214_130552.png	162	164	101	63	61
/home/janci/skola/4/microscopy/dataset/images/469fa030-Concentracion_1en920250217_123826.png	214	242	175	67	39
/home/janci/skola/4/microscopy/dataset/images/477d5230-Concentracion_1en920250217_124045.png	203	251	180	71	23
/home/janci/skola/4/microscopy/dataset/images/494b0b23-Concentracion_1en920250206_115939.png	47	85	41	44	6
/home/janci/skola/4/microscopy/dataset/images/4b1c6826-Concentracion_1en920250221_115713.png	175	172	119	53	56
/home/janci/skola/4/microscopy/dataset/images/49c9183e-Concentracion_1en920250217_125447.png	224	236	178	58	46
/home/janci/skola/4/microscopy/dataset/images/4c47f3ce-Concentracion_1en920250225_120344.png	218	267	165	102	53
/home/janci/skola/4/microscopy/dataset/images/4d7e99af-Concentracion_1en920250225_120421.png	292	288	217	71	75
/home/janci/skola/4/microscopy/dataset/images/4df6fc90-Concentracion_1en920250225_125013.png	303	312	232	80	71
/home/janci/skola/4/microscopy/dataset/images/4dc0b347-Concentracion_1en920250206_120213.png	15	254	13	241	2
/home/janci/skola/4/microscopy/dataset/images/4ef06a5a-Concentracion_1en920250214_142412.png	160	354	132	222	28
/home/janci/skola/4/microscopy/dataset/images/51181032-Concentracion_1en920250221_115611.png	154	152	116	36	38
/home/janci/skola/4/microscopy/dataset/images/51278622-Concentracion_1en920250224_121650.png	59	86	31	55	28
/home/janci/skola/4/microscopy/dataset/images/520f5db5-Concentracion_1en920250221_120207.png	143	152	116	36	27
/home/janci/skola/4/microscopy/dataset/images/52fbfa65-Concentracion_1en920250225_120847.png	236	265	169	96	67
/home/janci/skola/4/microscopy/dataset/images/54163ea8-Concentracion_1en920250214_142246.png	144	378	123	255	21
/home/janci/skola/4/microscopy/dataset/images/5452578c-Concentracion_1en920250214_111914.png	65	104	55	49	10
/home/janci/skola/4/microscopy/dataset/images/5773f5ec-Concentracion_1en920250221_120802.png	103	145	79	66	24
/home/janci/skola/4/microscopy/dataset/images/56a32e5f-Concentracion_1en920250206_112941.png	41	897	33	864	8
/home/janci/skola/4/microscopy/dataset/images/58560ac7-Concentracion_1en920250224_115610.png	46	49	26	23	20
/home/janci/skola/4/microscopy/dataset/images/58922639-Concentracion_1en920250224_112155.png	93	113	72	41	21
/home/janci/skola/4/microscopy/dataset/images/58db324d-Concentracion_1en920250224_113038.png	106	121	72	49	34
/home/janci/skola/4/microscopy/dataset/images/5837a2d5-Concentracion_1en920250206_114844.png	28	1329	22	1307	6
/home/janci/skola/4/microscopy/dataset/images/59fb582b-Concentracion_1en920250221_114522.png	131	137	101	36	30
/home/janci/skola/4/microscopy/dataset/images/5b0cb3a8-Concentracion_1en920250221_120228.png	110	124	93	31	17
/home/janci/skola/4/microscopy/dataset/images/5a6752a1-Concentracion_1en920250217_125012.png	151	213	133	80	18
/home/janci/skola/4/microscopy/dataset/images/60df06df-Concentracion_1en920250225_120520.png	247	256	182	74	65
/home/janci/skola/4/microscopy/dataset/images/5ee66214-Concentracion_1en920250214_141614.png	148	267	111	156	37
/home/janci/skola/4/microscopy/dataset/images/60e21f81-Concentracion_1en920250214_133353.png	117	329	106	223	11
