file	labels	identified	TP	FP	FN
/home/janci/skola/4/microscopy/dataset/images/348f8bfc-Concentracion_1en920250213_121749.png	72	222	2	220	70
/home/janci/skola/4/microscopy/dataset/images/35471fb8-Concentracion_1en920250224_123331.png	138	188	111	77	27
/home/janci/skola/4/microscopy/dataset/images/35bcad3d-Concentracion_1en920250214_122750.png	127	76	41	35	86
/home/janci/skola/4/microscopy/dataset/images/38831692-Concentracion_1en920250206_114422.png	31	339	23	316	8
/home/janci/skola/4/microscopy/dataset/images/39f81b0a-Concentracion_1en920250213_121030.png	45	324	5	319	40
/home/janci/skola/4/microscopy/dataset/images/3af4a11b-Concentracion_1en920250214_141638.png	166	411	149	262	17
/home/janci/skola/4/microscopy/dataset/images/3bb80376-Concentracion_1en920250217_125437.png	202	271	165	106	37
/home/janci/skola/4/microscopy/dataset/images/3bf5b5f5-Concentracion_1en920250213_123222.png	74	61	12	49	62
/home/janci/skola/4/microscopy/dataset/images/3c0bcb12-Concentracion_1en920250224_124621.png	136	182	108	74	28
/home/janci/skola/4/microscopy/dataset/images/3d960eac-Concentracion_1en920250214_130614.png	140	252	117	135	23
/home/janci/skola/4/microscopy/dataset/images/3df5bad4-Concentracion_1en920250214_141543.png	177	378	144	234	33
/home/janci/skola/4/microscopy/dataset/images/3f5b0634-Concentracion_1en920250217_125314.png	234	496	216	280	18
/home/janci/skola/4/microscopy/dataset/images/3f85a68a-Concentracion_1en920250206_120101.png	20	454	16	438	4
/home/janci/skola/4/microscopy/dataset/images/43424116-Concentracion_1en920250221_113916.png	130	156	100	56	30
/home/janci/skola/4/microscopy/dataset/images/46325593-Concentracion_1en920250214_130552.png	162	158	89	69	73
/home/janci/skola/4/microscopy/dataset/images/469fa030-Concentracion_1en920250217_123826.png	214	335	194	141	20
/home/janci/skola/4/microscopy/dataset/images/477d5230-Concentracion_1en920250217_124045.png	203	306	195	111	8
/home/janci/skola/4/microscopy/dataset/images/494b0b23-Concentracion_1en920250206_115939.png	47	137	6	131	41
/home/janci/skola/4/microscopy/dataset/images/49c9183e-Concentracion_1en920250217_125447.png	224	133	67	66	157
/home/janci/skola/4/microscopy/dataset/images/4b1c6826-Concentracion_1en920250221_115713.png	175	224	133	91	42
/home/janci/skola/4/microscopy/dataset/images/4c47f3ce-Concentracion_1en920250225_120344.png	218	333	177	156	41
/home/janci/skola/4/microscopy/dataset/images/4d7e99af-Concentracion_1en920250225_120421.png	292	414	239	175	53
/home/janci/skola/4/microscopy/dataset/images/4dc0b347-Concentracion_1en920250206_120213.png	15	116	11	105	4
/home/janci/skola/4/microscopy/dataset/images/4df6fc90-Concentracion_1en920250225_125013.png	303	433	261	172	42
/home/janci/skola/4/microscopy/dataset/images/4ef06a5a-Concentracion_1en920250214_142412.png	160	461	146	315	14
/home/janci/skola/4/microscopy/dataset/images/51181032-Concentracion_1en920250221_115611.png	154	178	104	74	50
/home/janci/skola/4/microscopy/dataset/images/51278622-Concentracion_1en920250224_121650.png	59	87	40	47	19
/home/janci/skola/4/microscopy/dataset/images/520f5db5-Concentracion_1en920250221_120207.png	143	198	120	78	23
/home/janci/skola/4/microscopy/dataset/images/52fbfa65-Concentracion_1en920250225_120847.png	236	269	147	122	89
/home/janci/skola/4/microscopy/dataset/images/54163ea8-Concentracion_1en920250214_142246.png	144	405	124	281	20
/home/janci/skola/4/microscopy/dataset/images/5452578c-Concentracion_1en920250214_111914.png	65	191	2	189	63
/home/janci/skola/4/microscopy/dataset/images/56a32e5f-Concentracion_1en920250206_112941.png	41	221	30	191	11
/home/janci/skola/4/microscopy/dataset/images/5773f5ec-Concentracion_1en920250221_120802.png	103	172	74	98	29
/home/janci/skola/4/microscopy/dataset/images/5837a2d5-Concentracion_1en920250206_114844.png	28	194	26	168	2
/home/janci/skola/4/microscopy/dataset/images/58560ac7-Concentracion_1en920250224_115610.png	46	124	30	94	16
/home/janci/skola/4/microscopy/dataset/images/58922639-Concentracion_1en920250224_112155.png	93	158	65	93	28
/home/janci/skola/4/microscopy/dataset/images/58db324d-Concentracion_1en920250224_113038.png	106	125	77	48	29
/home/janci/skola/4/microscopy/dataset/images/59fb582b-Concentracion_1en920250221_114522.png	131	138	70	68	61
/home/janci/skola/4/microscopy/dataset/images/5a6752a1-Concentracion_1en920250217_125012.png	151	135	58	77	93
/home/janci/skola/4/microscopy/dataset/images/5b0cb3a8-Concentracion_1en920250221_120228.png	110	142	77	65	33
/home/janci/skola/4/microscopy/dataset/images/5ee66214-Concentracion_1en920250214_141614.png	148	393	135	258	13
/home/janci/skola/4/microscopy/dataset/images/60df06df-Concentracion_1en920250225_120520.png	247	305	188	117	59
/home/janci/skola/4/microscopy/dataset/images/60e21f81-Concentracion_1en920250214_133353.png	117	373	103	270	14
