file	clusters	identified	TP	FP	FN	accuracy	single	identified	TP	FP	FN	accuracy
/home/janci/skola/4/microscopy/dataset/images/25dc8655-Concentracion_1en920250214_122259.png	9	4	3	1	6	30.00%	26	40	22	18	4	50.00%
/home/janci/skola/4/microscopy/dataset/images/265a1409-Concentracion_1en920250214_121910.png	17	13	5	8	12	20.00%	79	86	57	29	22	52.78%
/home/janci/skola/4/microscopy/dataset/images/26811b7e-Concentracion_1en920250214_113049.png	4	6	0	6	4	0.00%	61	91	58	33	3	61.70%
/home/janci/skola/4/microscopy/dataset/images/2840a2bb-Concentracion_1en920250213_113914.png	1	3	0	3	1	0.00%	23	42	19	23	4	41.30%
/home/janci/skola/4/microscopy/dataset/images/2976572c-Concentracion_1en920250221_120733.png	1	5	1	4	0	20.00%	97	118	77	41	20	55.80%
/home/janci/skola/4/microscopy/dataset/images/299a7f4f-Concentracion_1en920250225_120001.png	18	13	2	11	16	6.90%	188	185	148	37	40	65.78%
/home/janci/skola/4/microscopy/dataset/images/2a2149dc-Concentracion_1en920250214_135721.png	5	1	0	1	5	0.00%	75	68	45	23	30	45.92%
/home/janci/skola/4/microscopy/dataset/images/2b079ca4-Concentracion_1en920250221_115951.png	12	5	0	5	12	0.00%	113	114	86	28	27	60.99%
/home/janci/skola/4/microscopy/dataset/images/2a41ddeb-Concentracion_1en920250217_125244.png	27	7	4	3	23	13.33%	220	277	189	88	31	61.36%
/home/janci/skola/4/microscopy/dataset/images/2cfa6c6b-Concentracion_1en920250225_122436.png	26	20	3	17	23	6.98%	234	230	176	54	58	61.11%
/home/janci/skola/4/microscopy/dataset/images/2c9446b5-Concentracion_1en920250214_111930.png	8	4	0	4	8	0.00%	63	54	37	17	26	46.25%
/home/janci/skola/4/microscopy/dataset/images/2cfe06e5-Concentracion_1en920250225_125113.png	20	12	4	8	16	14.29%	159	139	94	45	65	46.08%
/home/janci/skola/4/microscopy/dataset/images/2fe8f768-Concentracion_1en920250224_124542.png	7	7	1	6	6	7.69%	117	90	67	23	50	47.86%
/home/janci/skola/4/microscopy/dataset/images/307ae253-Concentracion_1en920250221_113939.png	17	19	8	11	9	28.57%	115	100	77	23	38	55.80%
/home/janci/skola/4/microscopy/dataset/images/303b2fb2-Concentracion_1en920250217_125429.png	13	5	1	4	12	5.88%	147	60	49	11	98	31.01%
/home/janci/skola/4/microscopy/dataset/images/31f54ad2-Concentracion_1en920250214_135622.png	17	10	4	6	13	17.39%	85	88	61	27	24	54.46%
/home/janci/skola/4/microscopy/dataset/images/348f8bfc-Concentracion_1en920250213_121749.png	5	6	2	4	3	22.22%	58	84	47	37	11	49.47%
/home/janci/skola/4/microscopy/dataset/images/35471fb8-Concentracion_1en920250224_123331.png	11	15	2	13	9	8.33%	114	99	67	32	47	45.89%
/home/janci/skola/4/microscopy/dataset/images/35bcad3d-Concentracion_1en920250214_122750.png	27	3	2	1	25	7.14%	61	33	21	12	40	28.77%
/home/janci/skola/4/microscopy/dataset/images/38831692-Concentracion_1en920250206_114422.png	1	15	0	15	1	0.00%	29	317	0	317	29	0.00%
/home/janci/skola/4/microscopy/dataset/images/39f81b0a-Concentracion_1en920250213_121030.png	3	4	1	3	2	16.67%	37	58	26	32	11	37.68%
/home/janci/skola/4/microscopy/dataset/images/3af4a11b-Concentracion_1en920250214_141638.png	16	26	6	20	10	16.67%	132	129	84	45	48	47.46%
/home/janci/skola/4/microscopy/dataset/images/3bb80376-Concentracion_1en920250217_125437.png	16	9	5	4	11	25.00%	167	98	78	20	89	41.71%
/home/janci/skola/4/microscopy/dataset/images/3bf5b5f5-Concentracion_1en920250213_123222.png	6	6	0	6	6	0.00%	61	86	51	35	10	53.12%
/home/janci/skola/4/microscopy/dataset/images/3c0bcb12-Concentracion_1en920250224_124621.png	6	8	1	7	5	7.69%	121	112	84	28	37	56.38%
/home/janci/skola/4/microscopy/dataset/images/3d960eac-Concentracion_1en920250214_130614.png	16	17	5	12	11	17.86%	100	131	76	55	24	49.03%
/home/janci/skola/4/microscopy/dataset/images/3df5bad4-Concentracion_1en920250214_141543.png	19	27	5	22	14	12.20%	134	128	75	53	59	40.11%
/home/janci/skola/4/microscopy/dataset/images/3f85a68a-Concentracion_1en920250206_120101.png	0	22	0	22	0	0.00%	20	418	0	418	20	0.00%
/home/janci/skola/4/microscopy/dataset/images/3f5b0634-Concentracion_1en920250217_125314.png	24	21	5	16	19	12.50%	181	257	158	99	23	56.43%
/home/janci/skola/4/microscopy/dataset/images/43424116-Concentracion_1en920250221_113916.png	12	9	4	5	8	23.53%	105	93	76	17	29	62.30%
/home/janci/skola/4/microscopy/dataset/images/46325593-Concentracion_1en920250214_130552.png	26	15	10	5	16	32.26%	88	83	59	24	29	52.68%
/home/janci/skola/4/microscopy/dataset/images/494b0b23-Concentracion_1en920250206_115939.png	3	5	1	4	2	14.29%	40	58	35	23	5	55.56%
/home/janci/skola/4/microscopy/dataset/images/469fa030-Concentracion_1en920250217_123826.png	23	9	1	8	22	3.23%	163	167	127	40	36	62.56%
/home/janci/skola/4/microscopy/dataset/images/477d5230-Concentracion_1en920250217_124045.png	13	12	2	10	11	8.70%	174	189	159	30	15	77.94%
/home/janci/skola/4/microscopy/dataset/images/4b1c6826-Concentracion_1en920250221_115713.png	14	6	1	5	13	5.26%	143	131	105	26	38	62.13%
/home/janci/skola/4/microscopy/dataset/images/49c9183e-Concentracion_1en920250217_125447.png	21	6	1	5	20	3.85%	177	198	142	56	35	60.94%
/home/janci/skola/4/microscopy/dataset/images/4c47f3ce-Concentracion_1en920250225_120344.png	17	18	1	17	16	2.94%	178	172	131	41	47	59.82%
/home/janci/skola/4/microscopy/dataset/images/4d7e99af-Concentracion_1en920250225_120421.png	28	20	4	16	24	9.09%	227	193	146	47	81	53.28%
/home/janci/skola/4/microscopy/dataset/images/4dc0b347-Concentracion_1en920250206_120213.png	0	18	0	18	0	0.00%	15	135	12	123	3	8.70%
/home/janci/skola/4/microscopy/dataset/images/4df6fc90-Concentracion_1en920250225_125013.png	32	12	4	8	28	10.00%	228	235	172	63	56	59.11%
/home/janci/skola/4/microscopy/dataset/images/51181032-Concentracion_1en920250221_115611.png	13	8	3	5	10	16.67%	124	123	95	28	29	62.50%
/home/janci/skola/4/microscopy/dataset/images/4ef06a5a-Concentracion_1en920250214_142412.png	13	34	7	27	6	17.50%	131	144	91	53	40	49.46%
